,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews
834,MáLà Project,Kqb7MjTPNkjPMoFRd-rWpw,New York,NY,Chinese,40.72713,-73.98542,$$,584
835,Punjabi Grocery & Deli,PdzL9svqapSqH4o8bF86Pw,New York,NY,Indian,40.7227225423661,-73.9866224576721,$,383
836,Earl's Beer & Cheese,DpZBA0-f7Um9lvnp1zZM2A,New York,NY,Bars,40.78729,-73.95152,$$,580
837,Udon West Midtown,ev6e12vhY_0y4qE1cRhv0A,New York,NY,Japanese,40.7535446865563,-73.9735724478504,$$,988
838,Koroni Souvlaki and Grill,-rqqnZeGmwyfkqoRskSO1g,Astoria,NY,Mediterranean,40.768544,-73.92121,$$,234
839,The Cellar,SF2G4QfcSV03sMCSsv5s2g,New York,NY,Wine Bars,40.73889,-73.9897,$$,654
840,Allora Ristorante,z7H9ApIGopnDnQaglnPTzg,New York,NY,Italian,40.75433,-73.97277,$$$,477
841,B&H Dairy,koh-4_SAbshwZ8EBRmXcmg,New York,NY,Vegetarian,40.7284584,-73.9881668,$,458
842,Soba Totto,Ms1p17KsYteDlkvHnllC2g,New York,NY,Japanese,40.75122,-73.97317,$$,875
843,Mango Mango Dessert - New York,YFwncruQm44GTqn2jZ9BwQ,New York,NY,Desserts,40.71528,-73.99811,$,633
844,Kashkaval Garden,TAANt0fPbfHqVP5LyMBioA,New York,NY,Mediterranean,40.766758,-73.986144,$$,549
845,Ravagh Persian Grill,ExvoimQ4LzY3UWtZ6m6Lgw,New York,NY,Middle Eastern,40.74564,-73.9855,$$,744
846,Bedouin Tent,nGpC40fxoDQ-Ft0h-_gkVg,Brooklyn,NY,Middle Eastern,40.6869769801458,-73.984394049936,$,597
847,TAO Downtown,pBIvJHn65iqlUh1L2tN-qg,New York,NY,Lounges,40.7426141,-74.0042051,$$$,1327
848,Rosa Mexicano,dYWjNK07igws9jFNgQmhng,New York,NY,Mexican,40.7382,-73.99083,$$,1463
849,Jimmy's Diner,oGsyKk43d7Jc4wN7r3Wvxg,Brooklyn,NY,Diners,40.7177,-73.952445,$$,740
850,Don Angie,h37t9rA06Sr4EetJjKrfzw,New York,NY,Italian,40.73778,-74.00197,$$$,267
851,Radiance Tea House and Books,neQM053ovAOrf1sVSAPI9w,New York,NY,Asian Fusion,40.7639799,-73.98065,$$,836
852,Aburiya Kinnosuke,_FhKGcCbiYgtkXcCiwTAiA,New York,NY,Tapas/Small Plates,40.752583,-73.972274,$$$,719
853,Saiguette,sKIYGvENchifk1YwFe77pA,New York,NY,Vietnamese,40.79902,-73.96281,$$,585
854,Wowfulls,htXRzg3a3jMQt3mg_zM-yQ,New York,NY,Desserts,40.721047,-73.983519,$,320
855,Lella Alimentari,UpPXAjKc-CyuCg72chwd3A,Brooklyn,NY,Coffee & Tea,40.71516,-73.946451,$,174
856,Emily - West Village,m86CNmYThtzzWB3nPnrhbg,New York,NY,Pizza,40.729330068469,-74.0038400073579,$$,535
857,The Food Sermon Kitchen,VDz9n7gwcq51wOAbTBdXxA,Brooklyn,NY,Caribbean,40.6647720336914,-73.9535217285156,$$,250
858,Panino Rustico,FwMyv3CVIxbI6ngodw7s3w,Brooklyn,NY,Italian,40.610494,-74.003153,$$,427
859,ICHIRAN - Brooklyn,JRmQRFEEnSUdAcesHun9AQ,Brooklyn,NY,Ramen,40.707587,-73.933271,$$,1056
860,The Breslin Bar & Dining Room,GxqEVZUgz8xophUos_V3eQ,New York,NY,Gastropubs,40.7457012,-73.9878543,$$$,1558
861,I CE NY,fxN2HYA1uyrdkXR9XX-Uwg,New York,NY,Desserts,40.7296251968846,-74.0009496311209,$,584
862,MarieBelle,FeVmZXCk9y7Gff48e79AVA,New York,NY,Chocolatiers & Shops,40.7232107708636,-74.002450627852,$$$,484
863,Pocket Bar NYC,mvAjuaS1Jp6dsN4a-i_Fyw,New York,NY,Wine Bars,40.7633645,-73.9922985,$$,280
864,The Blue Stove,ydM7goKDQQ87VidFZ9Lw1Q,Brooklyn,NY,Bakeries,40.7174501317509,-73.9450335643078,$$,361
865,Forlini's Restaurant,bdKc4CSJPv-XLgxVwrtPrg,New York,NY,Italian,40.71695,-73.99957,$$,410
866,Mezetto,B8uEWQoTILlTNajCmJVOcQ,New York,NY,Mediterranean,40.7228863781236,-73.9889362576721,$$,576
867,Le Coucou,obFs12x7mgYPGxgalBd22w,New York,NY,French,40.71909,-74.00013,$$$$,511
868,Virgil's Real BBQ - Times Square,U0deo-JRQmHrru0uSf6QWA,New York,NY,Barbeque,40.75685,-73.9851,$$,1544
