,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
4357,Big Star,_StOUGMGMmENR44zAEoDrA,Chicago,IL,Mexican,41.9093,-87.67718,$$,3185,3.5
4358,Prime & Provisions,3Q_N0K28SRJbPy2sz0QqVw,Chicago,IL,American (Traditional),41.886635,-87.63282,$$$$,1058,4.5
4359,The Bad Apple,GEpXn9rtTMtIj5NsGFiNQw,Chicago,IL,Burgers,41.959767,-87.682822,$$,1505,4.0
4360,Bar Siena,0hfDRVaGSydijN5du1HCzg,Chicago,IL,Italian,41.88466,-87.64885,$$,1322,4.0
4361,The Chicago Diner,xdx3hwHT-m6_heZrKyH7vg,Chicago,IL,Vegan,41.9237447433269,-87.6982310134918,$$,829,4.5
4362,Lawrence Fish Market,uQFHfnbJm7LIxLhjMKc4mQ,Chicago,IL,Sushi Bars,41.968411,-87.726525,$,818,4.5
4363,Tanta,HkUUKDwlIu869ECubV4NfA,Chicago,IL,Peruvian,41.891861,-87.6320114,$$$,1113,4.0
4364,Lou Malnati's Pizzeria,FqzYCiJ29FGw6KFAGrpuJQ,Chicago,IL,Bars,41.90259525277,-87.6286705209015,$$,1464,4.0
4365,MingHin Cuisine,s1JPKx5lAeoq7QU8pmN-5A,Chicago,IL,Seafood,41.8532564325305,-87.6349026829699,$$,2147,4.0
4366,Nhu Lan Saigon Subs,kysa2NqoR8iYIjuaWELeZA,Chicago,IL,Vietnamese,41.9687048,-87.6944151,$,803,4.5
4367,The Aviary,ssrgrr-IjNFSdlLzCK5p0A,Chicago,IL,Cocktail Bars,41.8865304811531,-87.6520544164074,$$$$,1349,4.0
4368,Hoosier Mama Pie Company,XmFML20vtMPMuKCXlR2Fzg,Chicago,IL,Desserts,41.896234,-87.668002,$$,809,4.5
4369,Cindy's,riT822EnU7y_5eCuJsd9sA,Chicago,IL,American (New),41.8816894031196,-87.6250061730162,$$,1642,4.0
4370,Handlebar,zF9o33BVqLUOcCmnuB2eQw,Chicago,IL,Vegetarian,41.9100899,-87.6853,$$,1390,4.0
4371,Intelligentsia Coffee,kWOELNlUM14bv0m-slvq6A,Chicago,IL,Coffee & Tea,41.877995,-87.6295658341911,$$,1157,4.0
4372,Sultan's Market,O6uWHgJzylSjWjPSJKGhnQ,Chicago,IL,Middle Eastern,41.910362,-87.67973,$,1284,4.0
4373,Spacca Napoli,0fFLUKl71vv3eNV2xhikEw,Chicago,IL,Pizza,41.963286,-87.673801,$$,1457,4.0
4374,Roka Akor - Chicago,rgHFY55p10VVur7N3s-z5Q,Chicago,IL,Sushi Bars,41.8905877769375,-87.6312957381504,$$$,1147,4.0
